feature,importance,importance_norm,rank,model,importance_method
int_rate_num,0.7717447877251846,0.7717447877251846,1,DecisionTreeClassifier,tree_feature_importance
term_idx,0.05818778348559963,0.05818778348559963,2,DecisionTreeClassifier,tree_feature_importance
income_to_loan_ratio,0.02968480994235256,0.02968480994235256,3,DecisionTreeClassifier,tree_feature_importance
home_ownership_idx,0.028324586515882027,0.028324586515882027,4,DecisionTreeClassifier,tree_feature_importance
dti,0.02693088039093129,0.02693088039093129,5,DecisionTreeClassifier,tree_feature_importance
fico_range_high,0.023339170657190017,0.023339170657190017,6,DecisionTreeClassifier,tree_feature_importance
annual_inc,0.015685473114731133,0.015685473114731133,7,DecisionTreeClassifier,tree_feature_importance
installment_income_ratio,0.011928506229275307,0.011928506229275307,8,DecisionTreeClassifier,tree_feature_importance
revol_util_num,0.0064324060307992086,0.0064324060307992086,9,DecisionTreeClassifier,tree_feature_importance
verification_status_idx,0.005657162309053095,0.005657162309053095,10,DecisionTreeClassifier,tree_feature_importance
purpose_idx,0.005618570492648354,0.005618570492648354,11,DecisionTreeClassifier,tree_feature_importance
credit_stress_score,0.0037065378436328296,0.0037065378436328296,12,DecisionTreeClassifier,tree_feature_importance
total_acc,0.003191555103109037,0.003191555103109037,13,DecisionTreeClassifier,tree_feature_importance
installment,0.003178434707571214,0.003178434707571214,14,DecisionTreeClassifier,tree_feature_importance
delinquency_risk_score,0.0023031154323650037,0.0023031154323650037,15,DecisionTreeClassifier,tree_feature_importance
emp_length_num,0.0014115208683928007,0.0014115208683928007,16,DecisionTreeClassifier,tree_feature_importance
open_acc,0.0012308553429462724,0.0012308553429462724,17,DecisionTreeClassifier,tree_feature_importance
fico_bucket_idx,0.0008223101149597971,0.0008223101149597971,18,DecisionTreeClassifier,tree_feature_importance
loan_amnt,0.0006215336933758147,0.0006215336933758147,19,DecisionTreeClassifier,tree_feature_importance
high_risk_purpose_flag,0.0,0.0,20,DecisionTreeClassifier,tree_feature_importance
term_num,0.0,0.0,21,DecisionTreeClassifier,tree_feature_importance
