feature,importance,importance_norm,rank,model,importance_method
int_rate_num,0.18254222955078098,0.18254222955078095,1,GBTClassifier,tree_feature_importance
purpose_idx,0.09252265599339204,0.09252265599339203,2,GBTClassifier,tree_feature_importance
dti,0.07122261470980674,0.07122261470980673,3,GBTClassifier,tree_feature_importance
fico_range_high,0.06588522972272717,0.06588522972272716,4,GBTClassifier,tree_feature_importance
total_acc,0.06527327895493952,0.0652732789549395,5,GBTClassifier,tree_feature_importance
revol_util_num,0.06413020499033652,0.0641302049903365,6,GBTClassifier,tree_feature_importance
annual_inc,0.05337151865841484,0.05337151865841483,7,GBTClassifier,tree_feature_importance
income_to_loan_ratio,0.05022790312276274,0.05022790312276273,8,GBTClassifier,tree_feature_importance
open_acc,0.04844810995117852,0.04844810995117851,9,GBTClassifier,tree_feature_importance
credit_stress_score,0.04800530996270272,0.048005309962702705,10,GBTClassifier,tree_feature_importance
installment_income_ratio,0.0475863344351484,0.047586334435148384,11,GBTClassifier,tree_feature_importance
installment,0.046460428420720304,0.0464604284207203,12,GBTClassifier,tree_feature_importance
emp_length_num,0.03936435169539467,0.039364351695394664,13,GBTClassifier,tree_feature_importance
loan_amnt,0.035842628524590095,0.03584262852459009,14,GBTClassifier,tree_feature_importance
delinquency_risk_score,0.026801612631729407,0.0268016126317294,15,GBTClassifier,tree_feature_importance
home_ownership_idx,0.022705017042263666,0.022705017042263662,16,GBTClassifier,tree_feature_importance
verification_status_idx,0.020644395208960064,0.02064439520896006,17,GBTClassifier,tree_feature_importance
term_idx,0.011704182514625187,0.011704182514625185,18,GBTClassifier,tree_feature_importance
fico_bucket_idx,0.006876328538571785,0.006876328538571784,19,GBTClassifier,tree_feature_importance
term_num,0.00023116279241506058,0.00023116279241506052,20,GBTClassifier,tree_feature_importance
high_risk_purpose_flag,0.00015450257853962223,0.0001545025785396222,21,GBTClassifier,tree_feature_importance
