feature,importance,importance_norm,rank,model,importance_method
term_idx,0.40577763843809694,0.4195880413565963,1,LinearSVC,absolute_coefficients
home_ownership_idx,0.174398496606438,0.18033404671655792,2,LinearSVC,absolute_coefficients
int_rate_num,0.09012487732900953,0.09319222444474723,3,LinearSVC,absolute_coefficients
high_risk_purpose_flag,0.08935134719285406,0.09239236766602213,4,LinearSVC,absolute_coefficients
verification_status_idx,0.05204202089261716,0.05381324042059923,5,LinearSVC,absolute_coefficients
fico_bucket_idx,0.05179492021161629,0.05355772981346444,6,LinearSVC,absolute_coefficients
purpose_idx,0.037427382630535605,0.03870120155338735,7,LinearSVC,absolute_coefficients
term_num,0.016907401601584094,0.017482835056521456,8,LinearSVC,absolute_coefficients
income_to_loan_ratio,0.013251424029261197,0.013702428440919776,9,LinearSVC,absolute_coefficients
dti,0.011682845542078716,0.012080464308829251,10,LinearSVC,absolute_coefficients
emp_length_num,0.009901372931201547,0.010238360326940154,11,LinearSVC,absolute_coefficients
open_acc,0.004978743321397583,0.005148191917828255,12,LinearSVC,absolute_coefficients
fico_range_high,0.0047518756252646005,0.004913602913283976,13,LinearSVC,absolute_coefficients
credit_stress_score,0.0027757237565204846,0.0028701938796538134,14,LinearSVC,absolute_coefficients
delinquency_risk_score,0.0010819653421218762,0.001118789395256176,15,LinearSVC,absolute_coefficients
revol_util_num,0.0005776147109614019,0.0005972734874300477,16,LinearSVC,absolute_coefficients
total_acc,0.00017220707650091098,0.00017806804291850038,17,LinearSVC,absolute_coefficients
installment,5.3661675362366854e-05,5.548801887623954e-05,18,LinearSVC,absolute_coefficients
installment_income_ratio,3.1113315511196554e-05,3.217223887866933e-05,19,LinearSVC,absolute_coefficients
loan_amnt,2.3356868094010407e-06,2.4151805342238624e-06,20,LinearSVC,absolute_coefficients
annual_inc,8.363558752378901e-07,8.648207548324109e-07,21,LinearSVC,absolute_coefficients
