feature,importance,importance_norm,rank,model,importance_method
term_idx,0.26997237880903935,0.3474176452588797,1,LogisticRegression,absolute_coefficients
home_ownership_idx,0.17928300196772554,0.23071278126058725,2,LogisticRegression,absolute_coefficients
int_rate_num,0.08791822070619973,0.11313876385370313,3,LogisticRegression,absolute_coefficients
high_risk_purpose_flag,0.08712813027711609,0.11212202518723394,4,LogisticRegression,absolute_coefficients
verification_status_idx,0.05898788781947177,0.0759093696008492,5,LogisticRegression,absolute_coefficients
purpose_idx,0.03104076967868359,0.039945238680952073,6,LogisticRegression,absolute_coefficients
income_to_loan_ratio,0.014198491976369063,0.018271523444057136,7,LogisticRegression,absolute_coefficients
dti,0.012964919972096943,0.01668408445169772,8,LogisticRegression,absolute_coefficients
term_num,0.011248849117043455,0.014475735219120179,9,LogisticRegression,absolute_coefficients
emp_length_num,0.00985172424005638,0.012677825977305551,10,LogisticRegression,absolute_coefficients
fico_range_high,0.006606658763833302,0.008501869120408904,11,LogisticRegression,absolute_coefficients
open_acc,0.0034122111979646287,0.004391050613223548,12,LogisticRegression,absolute_coefficients
fico_bucket_idx,0.0019960834036514474,0.0025686872075436793,13,LogisticRegression,absolute_coefficients
revol_util_num,0.0011166646554165202,0.0014369951727655637,14,LogisticRegression,absolute_coefficients
credit_stress_score,0.0006162715931026504,0.0007930575218848741,15,LogisticRegression,absolute_coefficients
total_acc,0.00040972275212538997,0.0005272573230651719,16,LogisticRegression,absolute_coefficients
delinquency_risk_score,0.0001856796305829631,0.0002389443702138902,17,LogisticRegression,absolute_coefficients
installment,0.00011756651908163635,0.00015129208180780627,18,LogisticRegression,absolute_coefficients
installment_income_ratio,2.6354791398530458e-05,3.391502349002475e-05,19,LogisticRegression,absolute_coefficients
loan_amnt,8.616351695003874e-07,1.1088069934435729e-06,20,LogisticRegression,absolute_coefficients
annual_inc,6.448423705199697e-07,8.298242172680401e-07,21,LogisticRegression,absolute_coefficients
