feature,importance,importance_norm,rank,model,importance_method
int_rate_num,0.3387681066668775,0.33876810666687757,1,RandomForestClassifier,tree_feature_importance
term_num,0.08959456700506117,0.08959456700506119,2,RandomForestClassifier,tree_feature_importance
term_idx,0.08915717077708563,0.08915717077708564,3,RandomForestClassifier,tree_feature_importance
credit_stress_score,0.0649840164324129,0.06498401643241292,4,RandomForestClassifier,tree_feature_importance
fico_range_high,0.06301511553882008,0.0630151155388201,5,RandomForestClassifier,tree_feature_importance
income_to_loan_ratio,0.050723959882874814,0.05072395988287482,6,RandomForestClassifier,tree_feature_importance
installment_income_ratio,0.0464696457991801,0.04646964579918011,7,RandomForestClassifier,tree_feature_importance
dti,0.0382803394979498,0.03828033949794981,8,RandomForestClassifier,tree_feature_importance
fico_bucket_idx,0.028034278507926114,0.028034278507926117,9,RandomForestClassifier,tree_feature_importance
revol_util_num,0.027425427431857757,0.02742542743185776,10,RandomForestClassifier,tree_feature_importance
annual_inc,0.027243484522248677,0.02724348452224868,11,RandomForestClassifier,tree_feature_importance
home_ownership_idx,0.02412757765169603,0.024127577651696035,12,RandomForestClassifier,tree_feature_importance
installment,0.02023750652772167,0.020237506527721674,13,RandomForestClassifier,tree_feature_importance
total_acc,0.01830242716873175,0.018302427168731754,14,RandomForestClassifier,tree_feature_importance
loan_amnt,0.017975181678323824,0.017975181678323827,15,RandomForestClassifier,tree_feature_importance
open_acc,0.014307040424346154,0.014307040424346155,16,RandomForestClassifier,tree_feature_importance
purpose_idx,0.013600363735387342,0.013600363735387344,17,RandomForestClassifier,tree_feature_importance
emp_length_num,0.009236924840634675,0.009236924840634677,18,RandomForestClassifier,tree_feature_importance
verification_status_idx,0.009107245596550788,0.00910724559655079,19,RandomForestClassifier,tree_feature_importance
delinquency_risk_score,0.007794397157989845,0.007794397157989846,20,RandomForestClassifier,tree_feature_importance
high_risk_purpose_flag,0.0016152231563233285,0.0016152231563233287,21,RandomForestClassifier,tree_feature_importance
