model,threshold,tn,fp,fn,tp,accuracy,precision,recall,f1,expected_cost,fp_cost,fn_cost
GBTClassifier,0.05,417,42415,9,11520,0.21958757197255385,0.2135904329285251,0.9992193598750976,0.3519491628986924,42460.0,1.0,5.0
GBTClassifier,0.1,1926,40906,54,11475,0.2465186438807233,0.2190679826654703,0.9953161592505855,0.3590987325927085,41176.0,1.0,5.0
GBTClassifier,0.15,3828,39004,131,11398,0.28009050606133074,0.22614181976905678,0.988637349293087,0.36808706463645025,39659.0,1.0,5.0
GBTClassifier,0.2,6148,36684,292,11237,0.31980647890951236,0.23449009828676362,0.9746725648364992,0.37803195962994113,38144.0,1.0,5.0
GBTClassifier,0.25,9104,33728,563,10966,0.36919850628207723,0.24535731865574797,0.9511666232977708,0.39008946516550164,36543.0,1.0,5.0
GBTClassifier,0.3,12322,30510,931,10598,0.42162579790658744,0.25780869903668385,0.9192471159684275,0.40268252370005886,35165.0,1.0,5.0
GBTClassifier,0.35,15918,26914,1397,10132,0.4792038409889443,0.27349781352912594,0.8788273050568133,0.41716932578486876,33899.0,1.0,5.0
GBTClassifier,0.4,19754,23078,2098,9431,0.5368738617759056,0.29010427881509737,0.8180241131060804,0.428311912439257,33568.0,1.0,5.0
GBTClassifier,0.45,23874,18958,2975,8554,0.5965306009823219,0.31091887176504795,0.7419550698239222,0.4382059885761122,33833.0,1.0,5.0
GBTClassifier,0.5,27973,14859,4004,7525,0.6530049116094259,0.33617762687634023,0.652701882210079,0.44378262023412846,34879.0,1.0,5.0
GBTClassifier,0.55,31746,11086,5216,6313,0.7001158919078015,0.3628369446519915,0.5475756787232197,0.4364629424778761,37166.0,1.0,5.0
GBTClassifier,0.6,34904,7928,6373,5156,0.736925369290484,0.39406909202078877,0.44722005377743085,0.41896558729126887,39793.0,1.0,5.0
GBTClassifier,0.65,37466,5366,7467,4062,0.763930023362337,0.43084429359355114,0.35232890970595887,0.387650904232476,42701.0,1.0,5.0
GBTClassifier,0.7,39640,3192,8635,2894,0.7824359375287431,0.4755175813342097,0.2510191690519559,0.32858359352824296,46367.0,1.0,5.0
GBTClassifier,0.75,41274,1558,9815,1714,0.7907875131068229,0.523838630806846,0.1486685748980831,0.23160597256942103,50633.0,1.0,5.0
GBTClassifier,0.8,42258,574,10714,815,0.7923511340850977,0.5867530597552196,0.07069130019949692,0.12618052330082055,54144.0,1.0,5.0
GBTClassifier,0.85,42721,111,11295,234,0.7901804602564338,0.6782608695652174,0.02029664324746292,0.039413845376452754,56586.0,1.0,5.0
GBTClassifier,0.9,42822,10,11507,22,0.788138555214216,0.6875,0.0019082314164281377,0.0038058991436726924,57545.0,1.0,5.0
GBTClassifier,0.95,42832,0,11528,1,0.7879362042640864,1.0,8.673779165582444e-05,0.00017346053772766696,57640.0,1.0,5.0
