purpose_idx,default_rate,loan_count
0,0.22448721195239302,157960
1,0.17967475573045424,59463
2,0.19029258335223406,17636
3,0.22225047679593135,15730
4,0.19986518368722617,5934
5,0.22919375812743822,3076
6,0.29790069976674444,3001
7,0.14581247914581247,2997
8,0.26666666666666666,1875
9,0.2145922746781116,1864
10,0.24349566377585058,1499
11,0.11764705882352941,476
12,0.2709677419354839,155
13,0.1864406779661017,59
14,1.0,1
15,0.0,1
16,0.0,1
17,0.0,1
18,0.0,1
19,0.0,1
20,0.0,1
21,0.0,1
22,0.0,1
23,0.0,1
24,0.0,1
25,0.0,1
26,0.0,1
27,0.0,1
28,0.0,1
29,0.0,1
30,0.0,1
31,0.0,1
32,1.0,1
33,0.0,1
34,0.0,1
35,0.0,1
36,1.0,1
37,1.0,1
38,0.0,1
39,1.0,1
40,0.0,1
41,1.0,1
42,0.0,1
43,0.0,1
44,1.0,1
45,0.0,1
46,0.0,1
47,1.0,1
48,1.0,1
49,0.0,1
50,0.0,1
51,0.0,1
52,0.0,1
53,0.0,1
