model,metric,value
GBTClassifier,accuracy,0.6530049116094259
RandomForestClassifier,accuracy,0.655451518551903
LogisticRegression,accuracy,0.6576037968396461
LinearSVC,accuracy,0.6796416548628612
DecisionTreeClassifier,accuracy,0.6382884788727212
GBTClassifier,f1,0.4437826202341284
RandomForestClassifier,f1,0.4409288997671781
LogisticRegression,f1,0.4371806114118109
LinearSVC,f1,0.4298575871664757
DecisionTreeClassifier,f1,0.4347601115359186
GBTClassifier,precision,0.3361776268763402
RandomForestClassifier,precision,0.3361398079461157
LogisticRegression,precision,0.3355770123479714
LinearSVC,precision,0.3452355910811948
DecisionTreeClassifier,precision,0.3251354372688967
GBTClassifier,recall,0.652701882210079
RandomForestClassifier,recall,0.6406453291699193
LogisticRegression,recall,0.6270274958799549
LinearSVC,recall,0.5694336022204874
DecisionTreeClassifier,recall,0.6559111805013444
GBTClassifier,auc,0.7125159146189081
RandomForestClassifier,auc,0.7096298549389009
LogisticRegression,auc,0.7036500018889852
LinearSVC,auc,0.7012349694050827
DecisionTreeClassifier,auc,0.5885718933654598
