model,threshold,tn,fp,fn,tp,accuracy,precision,recall,f1,expected_cost,fp_cost,fn_cost
GBTClassifier,0.05,417,42415,9,11520,0.2195875719725538,0.2135904329285251,0.9992193598750976,0.3519491628986924,42460.0,1.0,5.0
GBTClassifier,0.1,1926,40906,54,11475,0.2465186438807233,0.2190679826654703,0.9953161592505856,0.3590987325927085,41176.0,1.0,5.0
GBTClassifier,0.15,3828,39004,131,11398,0.2800905060613307,0.2261418197690567,0.988637349293087,0.3680870646364502,39659.0,1.0,5.0
GBTClassifier,0.2,6148,36684,292,11237,0.3198064789095123,0.2344900982867636,0.9746725648364992,0.3780319596299411,38144.0,1.0,5.0
GBTClassifier,0.25,9104,33728,563,10966,0.3691985062820772,0.2453573186557479,0.9511666232977708,0.3900894651655016,36543.0,1.0,5.0
GBTClassifier,0.3,12322,30510,931,10598,0.4216257979065874,0.2578086990366838,0.9192471159684276,0.4026825237000588,35165.0,1.0,5.0
GBTClassifier,0.35,15918,26914,1397,10132,0.4792038409889443,0.2734978135291259,0.8788273050568133,0.4171693257848687,33899.0,1.0,5.0
GBTClassifier,0.4,19754,23078,2098,9431,0.5368738617759056,0.2901042788150973,0.8180241131060804,0.428311912439257,33568.0,1.0,5.0
GBTClassifier,0.45,23874,18958,2975,8554,0.5965306009823219,0.3109188717650479,0.7419550698239222,0.4382059885761122,33833.0,1.0,5.0
GBTClassifier,0.5,27973,14859,4004,7525,0.6530049116094259,0.3361776268763402,0.652701882210079,0.4437826202341284,34879.0,1.0,5.0
GBTClassifier,0.55,31746,11086,5216,6313,0.7001158919078015,0.3628369446519915,0.5475756787232197,0.4364629424778761,37166.0,1.0,5.0
GBTClassifier,0.6,34904,7928,6373,5156,0.736925369290484,0.3940690920207887,0.4472200537774308,0.4189655872912688,39793.0,1.0,5.0
GBTClassifier,0.65,37466,5366,7467,4062,0.763930023362337,0.4308442935935511,0.3523289097059588,0.387650904232476,42701.0,1.0,5.0
GBTClassifier,0.7,39640,3192,8635,2894,0.7824359375287431,0.4755175813342097,0.2510191690519559,0.3285835935282429,46367.0,1.0,5.0
GBTClassifier,0.75,41274,1558,9815,1714,0.7907875131068229,0.523838630806846,0.1486685748980831,0.231605972569421,50633.0,1.0,5.0
GBTClassifier,0.8,42258,574,10714,815,0.7923511340850977,0.5867530597552196,0.0706913001994969,0.1261805233008205,54144.0,1.0,5.0
GBTClassifier,0.85,42721,111,11295,234,0.7901804602564338,0.6782608695652174,0.0202966432474629,0.0394138453764527,56586.0,1.0,5.0
GBTClassifier,0.9,42822,10,11507,22,0.788138555214216,0.6875,0.0019082314164281,0.0038058991436726,57545.0,1.0,5.0
GBTClassifier,0.95,42832,0,11528,1,0.7879362042640864,1.0,8.673779165582444e-05,0.0001734605377276,57640.0,1.0,5.0
